infection_prob,recovery_prob,initial_density,final_infection_rate,avg_infection_rate,avg_steps,avg_agent_a_reward,avg_agent_b_reward
0.5,0.05,0.7,0.958,0.9498333333333333,121.0,2507.559999999999,-2267.559999999999
0.5,0.1,0.3,0.8860000000000001,0.8575166666666668,121.0,2263.844,-2023.8440000000003
0.5,0.1,0.5,0.858,0.8675666666666666,121.0,2290.3759999999997,-2050.3759999999993
0.5,0.1,0.7,0.906,0.8991999999999999,121.0,2373.888,-2133.887999999999
0.5,0.15,0.3,0.76,0.7778666666666666,121.0,2053.5680000000007,-1813.5680000000007
0.5,0.15,0.5,0.836,0.8333999999999999,121.0,2200.176000000001,-1960.1760000000006
0.5,0.15,0.7,0.8160000000000001,0.8134,121.0,2147.3760000000007,-1907.3760000000002
0.5,0.3,0.3,0.06799999999999999,0.18418387723387725,79.8,420.64,-263.03999999999996
0.5,0.3,0.5,0.122,0.18226290322580652,109.4,462.5279999999998,-245.72799999999984
0.5,0.3,0.7,0.092,0.20642846076961519,85.2,463.53999999999996,-295.1400000000001
0.5,0.4,0.3,0.006,0.09076073562041304,51.4,151.44799999999992,-50.647999999999996
0.5,0.4,0.5,0.0,0.11110878056131406,43.4,123.33200000000002,-38.532
0.5,0.4,0.7,0.0,0.10576759811616956,51.2,146.25599999999997,-45.85600000000003
0.5,0.5,0.3,0.0,0.06909329591785733,50.4,91.872,6.928000000000052
0.5,0.5,0.5,0.0,0.07712525862371064,42.6,92.26800000000014,-9.067999999999946
0.5,0.5,0.7,0.0,0.1211685287387266,32.6,100.89200000000001,-37.69200000000002
0.7,0.05,0.3,0.958,0.9339533333333334,112.0,2276.691999999998,-2054.6919999999986
0.7,0.05,0.5,0.9480000000000001,0.9342499999999999,121.0,2466.42,-2226.420000000001
0.7,0.05,0.7,0.9380000000000001,0.9438666666666666,121.0,2491.8079999999995,-2251.808
0.7,0.1,0.3,0.8880000000000001,0.8928333333333333,121.0,2357.08,-2117.0799999999995
0.7,0.1,0.5,0.9259999999999999,0.8955166666666667,121.0,2364.1639999999998,-2124.1639999999993
0.7,0.1,0.7,0.9399999999999998,0.9282833333333332,121.0,2450.667999999999,-2210.668
0.7,0.15,0.3,0.836,0.8394999999999999,121.0,2216.2799999999997,-1976.2800000000002
0.7,0.15,0.5,0.7940000000000002,0.8026333333333333,121.0,2118.9520000000007,-1878.9520000000007
0.7,0.15,0.7,0.826,0.8213166666666666,121.0,2168.2760000000007,-1928.2760000000005
0.7,0.3,0.3,0.21200000000000002,0.2515481481481482,102.4,641.9599999999998,-439.15999999999974
0.7,0.3,0.5,0.21400000000000002,0.3130695402298851,108.6,802.5159999999998,-587.3159999999998
0.7,0.3,0.7,0.27999999999999997,0.32769054054054053,111.8,845.3280000000001,-623.728
0.7,0.4,0.3,0.012,0.1165929149797571,49.0,195.57999999999996,-99.58000000000007
0.7,0.4,0.5,0.012,0.1232508527877723,53.0,210.76,-106.75999999999999
0.7,0.4,0.7,0.012,0.12228556056056054,57.4,204.68800000000002,-91.88800000000005
0.7,0.5,0.3,0.0,0.08834089255396557,31.4,98.42800000000003,-37.62799999999998
